player_type,player_key,playerid,mlbamid,name,team,weekly_projection_index,projection_rank
batter,23800,23800,678009,Parker Meadows,DET,25.1,512
batter,18217,18217,664954,Brett Sullivan,COL,25.0,513
batter,27969,27969,691277,Deyvison De Los Santos,MIA,25.0,514
pitcher,27819,27819,687064,Brandon Young,BAL,24.9,515
batter,19522,19522,670770,TJ Friedl,CIN,24.9,516
batter,31431,31431,687597,Jordan Beck,COL,24.6,517
batter,27493,27493,677956,Rece Hinds,CIN,24.5,518
batter,29487,29487,694362,Blake Dunn,CIN,24.4,519
batter,19968,19968,666931,Jared Oliva,SFG,24.4,520
pitcher,27500,27500,677944,Slade Cecconi,CLE,24.3,521
batter,15161,15161,641598,Mitch Garver,SEA,23.9,522
batter,31792,31792,805249,Otto Kemp,PHI,23.8,523
batter,21871,21871,666464,Jerar Encarnacion,SFG,23.7,524
batter,25479,25479,686668,Brenton Doyle,COL,23.4,525
batter,9847,9847,457705,Andrew McCutchen,TEX,23.3,526
batter,23917,23917,678391,Jorbit Vivas,WSN,23.1,527
pitcher,29357,29357,700712,Walbert Urena,LAA,22.7,528
batter,22277,22277,669397,Nick Allen,HOU,22.6,529
batter,16925,16925,605244,Aramis Garcia,ARI,22.5,530
batter,28848,28848,695020,Tanner Murray,CHW,22.5,531
batter,7739,7739,518595,Travis d'Arnaud,LAA,22.5,532
batter,25493,25493,687401,Joey Ortiz,MIL,22.4,533
batter,19392,19392,656716,Zach McKinstry,DET,22.4,534
batter,30080,30080,701678,Hao-Yu  Lee,DET,22.2,535
batter,26693,26693,682877,Juan Brito,CLE,22.2,536
batter,12533,12533,543760,Marcus Semien,NYM,22.2,537
batter,31500,31500,690022,Ryan Ritter,COL,21.8,538
pitcher,12718,12718,605288,Adrian Houser,SFG,21.5,539
batter,31912,31912,802415,Chandler Simpson,TBR,21.4,540
pitcher,29868,29868,696149,Bubba Chandler,PIT,21.1,541
batter,18030,18030,664056,Harrison Bader,SFG,21.1,542
batter,28763,28763,694025,Felix Reyes,PHI,20.5,543
pitcher,27889,27889,669372,J.T. Ginn,ATH,20.4,544
batter,23698,23698,677595,Ronny Mauricio,NYM,20.3,545
pitcher,31204,31204,680736,Justin Wrobleski,LAD,20.2,546
batter,18577,18577,663647,Ke'Bryan Hayes,CIN,20.2,547
batter,29931,29931,696285,Jacob Young,WSN,19.7,548
batter,15905,15905,620443,Luis Torrens,NYM,19.7,549
batter,2396,2396,467793,Carlos Santana,ARI,19.0,550
batter,27478,27478,672275,Patrick Bailey,SFG,19.0,551
batter,21497,21497,663609,Luken Baker,ARI,18.2,552
batter,31363,31363,688363,Graham Pauley,MIA,17.9,553
batter,25979,25979,683083,Nasim Nuñez,WSN,17.9,554
batter,18067,18067,596117,Garrett Stubbs,PHI,17.8,555
batter,21735,21735,665861,Sebastián Rivero,LAA,17.8,556
batter,22209,22209,669087,Sam Huff,BAL,17.4,557
batter,13675,13675,621438,Tyrone Taylor,NYM,17.4,558
batter,17929,17929,656775,Cedric Mullins,TBR,17.0,559
batter,30063,30063,671976,Tristan Peters,CHW,16.6,560
batter,18363,18363,645302,Victor Robles,SEA,16.6,561
batter,27653,27653,683766,Christian Koss,SFG,16.2,562
batter,19452,19452,668670,Jake Rogers,DET,16.2,563
batter,27501,27501,679822,Justin Foscue,TEX,16.2,564
batter,16512,16512,643396,Isiah Kiner-Falefa,BOS,16.1,565
batter,19610,19610,660688,Keibert Ruiz,WSN,16.1,566
batter,18848,18848,650968,Yohel Pozo,STL,16.1,567
batter,30038,30038,700246,Carson Williams,TBR,15.7,568
batter,26517,26517,682622,Noelvi Marte,CIN,15.6,569
batter,18433,18433,664731,P.J. Higgins,CIN,15.3,570
batter,19921,19921,663368,Blake Perkins,MIL,15.2,571
pitcher,27688,27688,686799,Jack Kochanowicz,LAA,15.1,572
batter,20002,20002,669369,Bryce Johnson,SDP,14.9,573
batter,13621,13621,600869,Jeimer Candelario,LAA,14.9,574
batter,21009,21009,660844,Leo Rivas,SEA,14.4,575
batter,15674,15674,624512,Reese McGuire,CHW,14.2,576
batter,22458,22458,670764,Taylor Walls,TBR,14.2,577
batter,28022,28022,700337,Edgar Quero,CHW,14.0,578
batter,25660,25660,686823,Will Brennan,SFG,14.0,579
batter,15271,15271,642851,Austin Wynns,ATH,13.8,580
batter,20126,20126,666185,Dylan Carlson,CHC,13.7,581
batter,31349,31349,687363,Victor Scott II,STL,13.1,582
batter,26548,26548,682668,Luisangel Acuña,CHW,13.0,583
batter,29780,29780,691788,Joe Mack,MIA,12.9,584
batter,29858,29858,672016,Denzel Clarke,ATH,12.1,585
batter,17975,17975,664068,Scott Kingery,CHC,12.1,586
batter,25779,25779,686475,Tyler Tolbert,KCR,12.0,587
batter,13602,13602,621550,Patrick Wisdom,SEA,11.9,588
batter,27883,27883,695336,Thomas Saggese,STL,11.8,589
batter,12859,12859,543510,James McCann,ARI,11.7,590
batter,16725,16725,624431,Jose Trevino,CIN,11.1,591
batter,25643,25643,686452,Drew Millas,WSN,10.8,592
batter,18054,18054,664059,Sam Haggerty,TEX,10.2,593
batter,2967,2967,502054,Tommy Pham,NYM,9.7,594
batter,21646,21646,665561,Rafael Marchán,PHI,9.5,595
pitcher,31741,31741,686930,Mason Barnett,ATH,8.9,596
batter,27931,27931,690984,Petey Halpin,CLE,8.6,597
batter,19562,19562,670097,Zack Short,DET,8.6,598
batter,13897,13897,623168,Tyler Heineman,TOR,8.1,599
batter,18821,18821,640492,José Azocar,ATL,7.3,600
batter,29524,29524,669326,Bryce Teodosio,LAA,6.7,601
batter,19802,19802,640902,Jhonny Pereda,SEA,6.6,602
batter,25448,25448,675659,Greg Jones,MIL,5.5,603
batter,29547,29547,669208,Ryan Bliss,SEA,3.4,604
batter,19339,19339,670032,Nicky Lopez,CHC,2.5,605
batter,18819,18819,628451,Andy Ibáñez,- - -,0.0,606
batter,16153,16153,596103,Austin Slater,- - -,0.0,607
batter,25705,25705,687957,Dustin Harris,- - -,0.0,608
batter,22896,22896,672820,Lenyn Sosa,- - -,0.0,609
batter,10243,10243,545341,Randal Grichuk,- - -,0.0,610
