player_type,player_key,playerid,mlbamid,name,team,weekly_projection_index,projection_rank
batter,22515,22515,671218,Heliot Ramos,SFG,54.7,218
batter,18568,18568,650333,Luis Arraez,SFG,54.7,219
batter,16252,16252,607208,Trea Turner,PHI,54.6,220
batter,22054,22054,667472,Dane Myers,CIN,54.5,221
pitcher,22100,22100,667755,José Soriano,LAA,54.4,222
batter,17620,17620,664702,Myles Straw,TOR,54.4,223
batter,20308,20308,676694,Jake Meyers,HOU,54.3,224
batter,22530,22530,671286,Johnathan Rodríguez,BAL,54.3,225
batter,23986,23986,678554,Curtis Mead,WSN,54.1,226
pitcher,gerrit cole,,,Gerrit Cole,NYY,54.0,227
batter,23697,23697,677594,Julio Rodríguez,SEA,54.0,228
pitcher,12447,12447,607625,Seth Lugo,KCR,54.0,229
batter,37122,37122,823550,Sung-Mun Song,SDP,53.8,230
batter,26121,26121,682626,Francisco Alvarez,NYM,53.7,231
batter,21626,21626,665052,Griffin Conine,MIA,53.7,232
batter,33824,33824,808982,Jung Hoo Lee,SFG,53.7,233
batter,19290,19290,668227,Randy Arozarena,SEA,53.7,234
pitcher,zebby matthews,,,Zebby Matthews,MIN,53.6,235
batter,19608,19608,672640,Otto Lopez,MIA,53.5,236
batter,16939,16939,657041,Lane Thomas,KCR,53.2,237
batter,21534,21534,663728,Cal Raleigh,SEA,53.1,238
batter,24488,24488,680474,Max Schuemann,NYY,53.1,239
batter,27769,27769,691718,Pete Crow-Armstrong,CHC,53.1,240
batter,21780,21780,665923,Esteury Ruiz,MIA,53.0,241
batter,16997,16997,650402,Gleyber Torres,DET,53.0,242
batter,31437,31437,690291,Jace Jung,DET,53.0,243
batter,18373,18373,663624,Ryan Mountcastle,BAL,53.0,244
batter,10324,10324,542303,Marcell Ozuna,PIT,52.8,245
batter,31583,31583,805904,Zach Cole,HOU,52.8,246
pitcher,31891,31891,702193,Andrew Morris,MIN,52.7,247
batter,22184,22184,668901,Mark Vientos,NYM,52.7,248
batter,27630,27630,679845,Nick Loftin,KCR,52.6,249
batter,35108,35108,701358,Cam Smith,HOU,52.1,250
batter,28272,28272,691620,Jeferson Quero,MIL,52.0,251
batter,15491,15491,641487,J.P. Crawford,SEA,51.8,252
pitcher,31857,31857,687570,Connor Prielipp,MIN,51.6,253
batter,21523,21523,663697,Jonathan India,KCR,51.5,254
batter,19238,19238,666971,Lourdes Gurriel Jr.,ARI,51.5,255
pitcher,29878,29878,680732,Sean Burke,CHW,51.3,256
pitcher,29869,29869,700241,Michael McGreevy,STL,51.2,257
pitcher,21487,21487,663568,Stephen Kolek,KCR,51.2,258
batter,26143,26143,687859,Troy Johnston,COL,51.0,259
batter,21693,21693,665804,Miguel Amaya,CHC,50.9,260
batter,27490,27490,693304,Nick Gonzales,PIT,50.8,261
batter,25434,25434,669717,Will Wilson,SEA,50.8,262
batter,33280,33280,694728,Brice Matthews,HOU,50.7,263
pitcher,24282,24282,678906,Kai-Wei Teng,HOU,50.7,264
batter,26664,26664,682818,Yohendrick Pinango,TOR,50.5,265
pitcher,30279,30279,693433,Bryan Woo,SEA,50.3,266
pitcher,24719,24719,681190,Randy Vásquez,SDP,50.2,267
batter,29805,29805,681198,TJ Rumfield,COL,50.1,268
batter,19901,19901,657757,Gavin Sheets,SDP,50.0,269
batter,24617,24617,680776,Jarren Duran,BOS,50.0,270
batter,29779,29779,691777,Max Muncy,ATH,49.7,271
batter,23565,23565,676914,Davis Schneider,TOR,49.6,272
pitcher,31843,31843,677958,Kumar Rocker,TEX,49.6,273
pitcher,30134,30134,676440,Tanner Bibee,CLE,49.6,274
batter,16505,16505,656305,Matt Chapman,SFG,49.4,275
batter,31695,31695,687637,Dylan Beavers,BAL,49.2,276
batter,27555,27555,669003,Garrett Mitchell,MIL,49.0,277
batter,29949,29949,672012,Tyler Black,MIL,48.8,278
batter,27534,27534,666397,Edouard Julien,COL,48.6,279
pitcher,20253,20253,643377,Griffin Jax,TBR,48.6,280
batter,21614,21614,664728,Kyle Isbel,KCR,48.6,281
batter,16530,16530,643289,Mauricio Dubón,ATL,48.6,282
pitcher,15873,15873,640455,Sean Manaea,NYM,48.6,283
batter,31855,31855,687515,Colby Thomas,ATH,48.5,284
pitcher,27669,27669,685299,Tanner Gordon,COL,48.4,285
pitcher,braxton garrett,,,Braxton Garrett,MIA,48.2,286
batter,27915,27915,696030,Alejandro Osuna,TEX,48.1,287
batter,19455,19455,655316,Andruw Monasterio,BOS,48.0,288
pitcher,16256,16256,607536,Kyle Freeland,COL,48.0,289
pitcher,bryce miller,,,Bryce Miller,SEA,47.9,290
pitcher,david sandlin,,,David Sandlin,CHW,47.9,291
batter,18872,18872,663330,Jahmai Jones,DET,47.9,292
batter,21622,21622,664983,Jake McCarthy,COL,47.9,293
pitcher,lucas giolito,,,Lucas Giolito,SDP,47.9,294
batter,29622,29622,686217,Sal Frelick,MIL,47.9,295
batter,18839,18839,647304,Josh Naylor,SEA,47.8,296
batter,11739,11739,592663,J.T. Realmuto,PHI,47.7,297
batter,19877,19877,656484,Tristan Gray,MIN,47.5,298
pitcher,27779,27779,693821,Bryce Elder,ATL,47.3,299
batter,14111,14111,606992,Eric Haase,SFG,47.3,300
batter,26031,26031,687093,Vaughn Grissom,LAA,47.2,301
batter,27899,27899,690993,Colt Keith,DET,47.1,302
batter,23695,23695,677592,Everson Pereira,CHW,47.0,303
batter,20437,20437,668904,Royce Lewis,MIN,46.9,304
batter,29668,29668,691785,Marcelo Mayer,BOS,46.8,305
pitcher,11486,11486,592662,Robbie Ray,SFG,46.8,306
pitcher,24763,24763,681517,Kyle Leahy,STL,46.5,307
pitcher,nick lodolo,,,Nick Lodolo,CIN,46.5,308
batter,22239,22239,669236,Jeremiah Jackson,BAL,46.3,309
pitcher,27814,27814,675660,Shane Drohan,MIL,46.3,310
batter,12552,12552,553993,Eugenio Suárez,CIN,46.2,311
batter,19931,19931,663897,Luke Williams,ATL,46.1,312
batter,26294,26294,681082,Bryson Stott,PHI,46.0,313
batter,31665,31665,690976,Alex Freeland,LAD,45.9,314
batter,29794,29794,700932,Kyle Manzardo,CLE,45.9,315
pitcher,30107,30107,681035,Christian Scott,NYM,45.8,316
pitcher,troy melton,,,Troy Melton,DET,45.7,317
pitcher,24586,24586,680694,Kyle Bradish,BAL,45.5,318
batter,33189,33189,694384,Nolan Schanuel,LAA,45.5,319
pitcher,24728,24728,681347,Mike Burrows,HOU,45.4,320
batter,31545,31545,687551,Drew Gilbert,SFG,45.3,321
batter,9241,9241,516782,Starling Marte,KCR,45.1,322
batter,31595,31595,686797,Brooks Lee,MIN,44.8,323
batter,33266,33266,805779,Jacob Wilson,ATH,44.8,324
batter,22542,22542,671732,Lawrence Butler,ATH,44.8,325
batter,22197,22197,669004,MJ Melendez,NYM,44.6,326
pitcher,12317,12317,607067,Colin Rea,CHC,44.5,327
batter,22563,22563,672356,Gabriel Arias,CLE,44.5,328
batter,33390,33390,805811,Bryce Eldridge,SFG,44.1,329
batter,34967,34967,683953,Travis Bazzana,CLE,43.9,330
batter,21853,21853,666181,Will Benson,CIN,43.9,331
batter,29592,29592,681393,Connor Norby,MIA,43.8,332
batter,25817,25817,669699,Braden Shewmake,HOU,43.7,333
batter,23690,23690,677587,Brayan Rocchio,CLE,43.7,334
batter,31791,31791,702222,Justin Crawford,PHI,43.7,335
batter,17350,17350,646240,Rafael Devers,SFG,43.6,336
pitcher,27498,27498,675911,Spencer Strider,ATL,43.5,337
batter,16572,16572,656582,Connor Joe,SEA,43.4,338
batter,35322,35322,808975,Hyeseong Kim,LAD,43.4,339
batter,23733,23733,677649,Ezequiel Duran,TEX,43.2,340
pitcher,11674,11674,592791,Jameson Taillon,CHC,43.2,341
batter,33333,33333,694671,Wyatt Langford,TEX,43.1,342
batter,13152,13152,593871,Jorge Polanco,NYM,43.0,343
batter,33321,33321,807712,Luke Keaschall,MIN,43.0,344
batter,27449,27449,669899,Ryan Ward,LAD,43.0,345
batter,22532,22532,671289,Tyler Freeman,COL,43.0,346
batter,29704,29704,690924,Braxton Fulford,COL,42.9,347
pitcher,19374,19374,621111,Walker Buehler,SDP,42.7,348
pitcher,gage jump,,,Gage Jump,ATH,42.5,349
pitcher,carlos rodon,,,Carlos Rodón,NYY,42.4,350
batter,17988,17988,663886,Tyler Stephenson,CIN,42.3,351
pitcher,17969,17969,663567,Peter Lambert,HOU,42.1,352
batter,29995,29995,695734,Daylen Lile,WSN,42.0,353
batter,7304,7304,521692,Salvador Perez,KCR,41.7,354
pitcher,12768,12768,543243,Sonny Gray,BOS,41.7,355
batter,26546,26546,682663,Agustín Ramírez,MIA,41.6,356
batter,26151,26151,669065,Kyle Stowers,MIA,41.6,357
pitcher,jared jones,,,Jared Jones,PIT,41.5,358
pitcher,kade morris,,,Kade Morris,ATH,41.5,359
batter,15986,15986,642715,Willy Adames,SFG,41.5,360
batter,18795,18795,602104,Ramón Urías,STL,41.4,361
batter,16930,16930,641680,Jonah Heim,ATL,41.3,362
pitcher,15689,15689,622491,Luis Castillo,SEA,41.3,363
pitcher,22630,22630,672456,Keider Montero,DET,41.1,364
pitcher,22286,22286,669432,Trevor Rogers,BAL,41.1,365
pitcher,24452,24452,679883,Luinder Avila,KCR,41.0,366
pitcher,37124,37124,837227,Tatsuya Imai,HOU,40.9,367
batter,20084,20084,641555,J.C. Escarra,NYY,40.7,368
batter,22558,22558,672284,Jarred Kelenic,CHW,40.7,369
batter,20043,20043,673357,Luis Robert Jr.,NYM,40.7,370
batter,27479,27479,691026,Masyn Winn,STL,40.7,371
pitcher,14078,14078,608379,Michael Wacha,KCR,40.7,372
batter,19950,19950,665926,Andrés Giménez,TOR,40.6,373
batter,20352,20352,676391,Ernie Clement,TOR,40.5,374
batter,29630,29630,694388,Joey Loperfido,HOU,40.4,375
pitcher,35323,35323,808963,Roki Sasaki,LAD,40.3,376
batter,29695,29695,680574,Matt McLain,CIN,40.0,377
batter,11899,11899,592626,Joc Pederson,TEX,39.8,378
batter,24610,24610,680757,Steven Kwan,CLE,39.7,379
batter,19260,19260,641584,Jake Fraley,TBR,39.6,380
pitcher,17677,17677,605488,Jeffrey Springs,ATH,39.6,381
batter,19643,19643,669288,Daniel Johnson,HOU,39.5,382
pitcher,14843,14843,547179,Michael Lorenzen,COL,39.4,383
pitcher,12730,12730,607259,Nick Martinez,TBR,39.1,384
pitcher,chad dallas,,,Chad Dallas,TOR,39.0,385
batter,23401,23401,676609,José Caballero,NYY,38.8,386
batter,17232,17232,660162,Yoán Moncada,LAA,38.8,387
batter,9774,9774,543877,Christian Vázquez,HOU,38.7,388
batter,14968,14968,605170,Victor Caratini,MIN,38.7,389
batter,19612,19612,666182,Bo Bichette,NYM,38.4,390
batter,22275,22275,669394,Jake Burger,TEX,38.4,391
batter,23003,23003,673237,Yainer Diaz,HOU,38.4,392
pitcher,17479,17479,656427,Jack Flaherty,DET,38.3,393
batter,27690,27690,686894,Joey Wiemer,WSN,38.3,394
batter,22263,22263,669357,Nolan Gorman,STL,38.2,395
batter,22823,22823,672724,Oswald Peraza,LAA,38.1,396
pitcher,29921,29921,681293,Spencer Arrighetti,HOU,38.1,397
batter,28020,28020,699912,Jose Fernandez,ARI,38.0,398
batter,27504,27504,694377,Nick Yorke,PIT,37.9,399
batter,15112,15112,641857,Ryan McMahon,NYY,37.9,400
batter,27789,27789,694376,Shay Whitcomb,HOU,37.9,401
batter,20220,20220,666176,Jo Adell,LAA,37.8,402
batter,23691,23691,677588,José Tena,WSN,37.8,403
batter,17273,17273,622761,Jorge Mateo,ATL,37.5,404
batter,28312,28312,691723,Coby Mayo,BAL,37.4,405
batter,23782,23782,677870,Leo Jiménez,MIA,37.4,406
pitcher,17594,17594,656605,Mitch Keller,PIT,37.4,407
batter,19722,19722,665966,Carlos Narváez,BOS,37.2,408
